Name and Address of Seller  ,Title of Securities Sold  ,Date of  Sale  ,Amount of Securities Sold  ,Gross Proceeds  
ZACHARY KIRKHORN 1 TESLA ROAD AUSTIN TX 78725  ,Common  ,08/04/ 2023  ,3750  ,978750.00  
ZACHARY KIRKHORN 1 TESLA ROAD AUSTIN TX 78725  ,Common  ,07/05/ 2023  ,3750  ,1045125.00  
